state_fips,district_number,district_name
37,10,Congressional District 10, North Carolina
37,12,Congressional District 12, North Carolina
37,13,Congressional District 13, North Carolina
34,01,Congressional District 1, New Jersey
34,02,Congressional District 2, New Jersey
34,03,Congressional District 3, New Jersey
34,04,Congressional District 4, New Jersey
34,05,Congressional District 5, New Jersey
34,06,Congressional District 6, New Jersey
34,07,Congressional District 7, New Jersey
34,08,Congressional District 8, New Jersey
34,09,Congressional District 9, New Jersey
31,02,Congressional District 2, Nebraska
34,10,Congressional District 10, New Jersey
34,11,Congressional District 11, New Jersey
34,12,Congressional District 12, New Jersey
18,01,Congressional District 1, Indiana
18,02,Congressional District 2, Indiana
18,03,Congressional District 3, Indiana
18,05,Congressional District 5, Indiana
18,07,Congressional District 7, Indiana
18,09,Congressional District 9, Indiana
25,01,Congressional District 1, Massachusetts
25,03,Congressional District 3, Massachusetts
25,05,Congressional District 5, Massachusetts
25,06,Congressional District 6, Massachusetts
25,08,Congressional District 8, Massachusetts
39,03,Congressional District 3, Ohio
39,04,Congressional District 4, Ohio
39,06,Congressional District 6, Ohio
39,08,Congressional District 8, Ohio
39,10,Congressional District 10, Ohio
39,12,Congressional District 12, Ohio
39,13,Congressional District 13, Ohio
39,15,Congressional District 15, Ohio
40,01,Congressional District 1, Oklahoma
40,03,Congressional District 3, Oklahoma
40,05,Congressional District 5, Oklahoma
41,01,Congressional District 1, Oregon
41,03,Congressional District 3, Oregon
41,05,Congressional District 5, Oregon
44,02,Congressional District 2, Rhode Island
42,01,Congressional District 1, Pennsylvania
42,03,Congressional District 3, Pennsylvania
42,05,Congressional District 5, Pennsylvania
42,06,Congressional District 6, Pennsylvania
42,08,Congressional District 8, Pennsylvania
42,10,Congressional District 10, Pennsylvania
42,12,Congressional District 12, Pennsylvania
42,13,Congressional District 13, Pennsylvania
42,15,Congressional District 15, Pennsylvania
42,17,Congressional District 17, Pennsylvania
42,18,Congressional District 18, Pennsylvania
45,02,Congressional District 2, South Carolina
45,04,Congressional District 4, South Carolina
45,05,Congressional District 5, South Carolina
45,07,Congressional District 7, South Carolina
47,01,Congressional District 1, Tennessee
47,02,Congressional District 2, Tennessee
47,03,Congressional District 3, Tennessee
47,04,Congressional District 4, Tennessee
47,05,Congressional District 5, Tennessee
47,06,Congressional District 6, Tennessee
47,07,Congressional District 7, Tennessee
47,08,Congressional District 8, Tennessee
47,09,Congressional District 9, Tennessee
49,01,Congressional District 1, Utah
39,01,Congressional District 1, Ohio
49,02,Congressional District 2, Utah
49,03,Congressional District 3, Utah
49,04,Congressional District 4, Utah
50,00,Congressional District (at Large), Vermont
51,01,Congressional District 1, Virginia
51,02,Congressional District 2, Virginia
51,03,Congressional District 3, Virginia
51,04,Congressional District 4, Virginia
51,05,Congressional District 5, Virginia
51,06,Congressional District 6, Virginia
51,08,Congressional District 8, Virginia
51,10,Congressional District 10, Virginia
51,11,Congressional District 11, Virginia
53,02,Congressional District 2, Washington
53,05,Congressional District 5, Washington
53,07,Congressional District 7, Washington
53,09,Congressional District 9, Washington
54,01,Congressional District 1, West Virginia
54,02,Congressional District 2, West Virginia
55,01,Congressional District 1, Wisconsin
55,03,Congressional District 3, Wisconsin
55,04,Congressional District 4, Wisconsin
55,06,Congressional District 6, Wisconsin
55,08,Congressional District 8, Wisconsin
72,98,Resident Commissioner District (at Large), Puerto Rico
48,01,Congressional District 1, Texas
48,03,Congressional District 3, Texas
48,05,Congressional District 5, Texas
48,06,Congressional District 6, Texas
48,08,Congressional District 8, Texas
48,10,Congressional District 10, Texas
48,12,Congressional District 12, Texas
48,13,Congressional District 13, Texas
48,15,Congressional District 15, Texas
48,17,Congressional District 17, Texas
48,19,Congressional District 19, Texas
48,20,Congressional District 20, Texas
48,22,Congressional District 22, Texas
48,24,Congressional District 24, Texas
48,26,Congressional District 26, Texas
48,27,Congressional District 27, Texas
48,29,Congressional District 29, Texas
48,31,Congressional District 31, Texas
48,33,Congressional District 33, Texas
48,34,Congressional District 34, Texas
48,36,Congressional District 36, Texas
06,09,Congressional District 9, California
06,12,Congressional District 12, California
06,14,Congressional District 14, California
06,16,Congressional District 16, California
06,18,Congressional District 18, California
06,21,Congressional District 21, California
06,23,Congressional District 23, California
06,25,Congressional District 25, California
53,04,Congressional District 4, Washington
06,27,Congressional District 27, California
06,30,Congressional District 30, California
06,32,Congressional District 32, California
06,34,Congressional District 34, California
06,36,Congressional District 36, California
06,39,Congressional District 39, California
06,41,Congressional District 41, California
06,43,Congressional District 43, California
06,45,Congressional District 45, California
06,48,Congressional District 48, California
06,50,Congressional District 50, California
06,52,Congressional District 52, California
05,01,Congressional District 1, Arkansas
05,04,Congressional District 4, Arkansas
09,02,Congressional District 2, Connecticut
09,04,Congressional District 4, Connecticut
09,ZZ,Congressional Districts not defined, Connecticut
08,01,Congressional District 1, Colorado
08,03,Congressional District 3, Colorado
08,05,Congressional District 5, Colorado
08,07,Congressional District 7, Colorado
13,01,Congressional District 1, Georgia
13,03,Congressional District 3, Georgia
13,05,Congressional District 5, Georgia
13,07,Congressional District 7, Georgia
13,09,Congressional District 9, Georgia
17,09,Congressional District 9, Illinois
17,11,Congressional District 11, Illinois
17,13,Congressional District 13, Illinois
17,15,Congressional District 15, Illinois
17,17,Congressional District 17, Illinois
19,01,Congressional District 1, Iowa
19,03,Congressional District 3, Iowa
24,01,Congressional District 1, Maryland
24,03,Congressional District 3, Maryland
24,05,Congressional District 5, Maryland
24,08,Congressional District 8, Maryland
26,02,Congressional District 2, Michigan
26,04,Congressional District 4, Michigan
26,06,Congressional District 6, Michigan
26,08,Congressional District 8, Michigan
26,11,Congressional District 11, Michigan
26,13,Congressional District 13, Michigan
26,ZZ,Congressional Districts not defined, Michigan
28,02,Congressional District 2, Mississippi
35,01,Congressional District 1, New Mexico
35,03,Congressional District 3, New Mexico
04,01,Congressional District 1, Arizona
04,03,Congressional District 3, Arizona
04,06,Congressional District 6, Arizona
04,08,Congressional District 8, Arizona
20,01,Congressional District 1, Kansas
20,03,Congressional District 3, Kansas
21,02,Congressional District 2, Kentucky
21,04,Congressional District 4, Kentucky
21,06,Congressional District 6, Kentucky
23,02,Congressional District 2, Maine
27,03,Congressional District 3, Minnesota
27,05,Congressional District 5, Minnesota
27,07,Congressional District 7, Minnesota
12,10,Congressional District 10, Florida
12,12,Congressional District 12, Florida
12,14,Congressional District 14, Florida
12,17,Congressional District 17, Florida
12,19,Congressional District 19, Florida
12,21,Congressional District 21, Florida
12,24,Congressional District 24, Florida
12,26,Congressional District 26, Florida
31,01,Congressional District 1, Nebraska
32,03,Congressional District 3, Nevada
33,01,Congressional District 1, New Hampshire
22,02,Congressional District 2, Louisiana
22,04,Congressional District 4, Louisiana
22,06,Congressional District 6, Louisiana
36,03,Congressional District 3, New York
36,05,Congressional District 5, New York
36,07,Congressional District 7, New York
36,10,Congressional District 10, New York
36,12,Congressional District 12, New York
36,14,Congressional District 14, New York
36,17,Congressional District 17, New York
36,19,Congressional District 19, New York
36,21,Congressional District 21, New York
36,24,Congressional District 24, New York
36,26,Congressional District 26, New York
37,01,Congressional District 1, North Carolina
37,04,Congressional District 4, North Carolina
37,06,Congressional District 6, North Carolina
37,09,Congressional District 9, North Carolina
37,11,Congressional District 11, North Carolina
18,04,Congressional District 4, Indiana
18,06,Congressional District 6, Indiana
18,08,Congressional District 8, Indiana
25,02,Congressional District 2, Massachusetts
25,04,Congressional District 4, Massachusetts
25,07,Congressional District 7, Massachusetts
25,09,Congressional District 9, Massachusetts
39,02,Congressional District 2, Ohio
39,05,Congressional District 5, Ohio
39,07,Congressional District 7, Ohio
39,09,Congressional District 9, Ohio
39,11,Congressional District 11, Ohio
39,14,Congressional District 14, Ohio
39,16,Congressional District 16, Ohio
40,02,Congressional District 2, Oklahoma
40,04,Congressional District 4, Oklahoma
41,02,Congressional District 2, Oregon
41,04,Congressional District 4, Oregon
44,01,Congressional District 1, Rhode Island
32,01,Congressional District 1, Nevada
42,02,Congressional District 2, Pennsylvania
42,04,Congressional District 4, Pennsylvania
42,07,Congressional District 7, Pennsylvania
42,09,Congressional District 9, Pennsylvania
42,11,Congressional District 11, Pennsylvania
42,14,Congressional District 14, Pennsylvania
42,16,Congressional District 16, Pennsylvania
45,01,Congressional District 1, South Carolina
45,03,Congressional District 3, South Carolina
45,06,Congressional District 6, South Carolina
46,00,Congressional District (at Large), South Dakota
51,07,Congressional District 7, Virginia
51,09,Congressional District 9, Virginia
53,01,Congressional District 1, Washington
53,06,Congressional District 6, Washington
53,08,Congressional District 8, Washington
